title,description,price,rating,seller,image
"ASUS ROG Swift 32"" 4K OLED Gaming Monitor PG32UCDP WOLED, Dual mode 4K 240Hz, FHD 480Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, AI Gaming, 99% DCI-P3, True 10-bit, USB-C 90W","32-inch 4K (3840 x 2160) WOLED gaming monitor with versatile dual mode (4K @ 240 Hz or FHD @ 480 Hz) ,ROG-exclusive OLED Anti-flicker technology helps reduce the flicker during refresh-rate fluctuations ,New AI Assistant provides dynamic AI Crosshair, AI Sniper, and AI Visual functions for improved gaming experiences ,Optional uniform brightness setting ensures consistent luminance levels ,DisplayWidget Center allows users to easily access OLED Care functions and adjust monitor settings using a mouse ,Extensive connectivity options include DisplayPort 1.4 (DSC), HDMI 2.1, and USB-C with 90 W Power Delivery ,What's in the box: DisplayPort cable, HDMI Ultra High Speed Cable, ROG pouch, ROG sticker, USB 3.2 cable, USB-C cable, VESA mount kit, Power cord & adapter, Quick start guide, Warranty Card, Color pre-calibration report ,Free 3-month Adobe Creative Cloud Subscription: Receive complimentary access with the purchase of this product (offer valid from 9/15/2021 to 8/31/2025) ,","$1,299.00 ",4.9,Newegg,https://c1.neweggimages.com/ProductImage/24-281-314-06.jpg
"Acer 27"" 170 Hz VA QHD gaming monitor FreeSync Premium (AMD Adaptive Sync) 2560 x 1440 (2K) 72% NTSC ED270U P2bmiipx","27"" ,VA QHD 2560 x 1440 (2K) ,170 Hz ,FreeSync Premium (AMD Adaptive Sync) ,4000:1 (DCR 100,000,000:1) ,16.7 Million ,1 x DisplayPort / 1 x HDMI ,1 x Nitro ED270U P2 Widescreen Gaming LCD Monitor 1 x Displayport Cable 1 x HDMI Cable 1 x Power Cord (US) ,",$174.99 ,4.5,Newegg,https://c1.neweggimages.com/ProductImage/24-011-453-09.png
"Acer Nitro 34"" 21:9 Curved UWQHD (3440 x 1440) Monitor, Adaptive-Sync Support (FreeSync Compatible), 100Hz Refresh Rate, 1ms (VRB), AdobeRGB 90%, VESA Mounting Compliant (2 x Display Port 1.2 & 2 x HDMI 2.0 Ports) - EDA343CUR Hbmiippx","34"" UWQHD (3440 x 1440) 1000R Curved Widescreen Display ,Adaptive-Sync Support (FreeSync Compatible) ,Response Time: 1ms (VRB) ,Refresh Rate: 100Hz ,Color Saturation: AdobeRGB 90% ,HDR 10 ,RGB Lighting ,ZeroFrame Design ,Panel Type: VA ,Acer VisionCare 2.0 Technologies ,2 speakers, 3 watts per speaker ,Ports: 2 x Display Ports 1.2, 2 x HDMI 2.0 Ports & 1 x Audio Out ,",$174.99 ,4.7,Newegg,https://c1.neweggimages.com/ProductImage/24-011-505-12.jpg
"Acer Nitro VG271U M3bmiipx 27"" WQHD (2560 x 1440) IPS Monitor with AMD FreeSync Premium Technology, Up to 180Hz, Up to 0.5ms, DCI-P3 95% (1 x Display Port 1.2, 2 x HDMI 2.0 and 1 x Audio Out)","27"" WQHD (2560 x 1440) Widescreen IPS Monitor with AMD FreeSync Premium Technology ,Response Time: 1ms (G to G) - Up to 0.5ms (G to G) ,Panel Type: IPS ,Refresh Rate: Up to 180Hz ,Color Saturation: DCI-P3 95% ,Brightness: 250nits ,Acer VisionCare Technologies ,Ports: 1 x Display Port 1.2, 2 x HDMI 2.0 and 1 x Audio Out ,",$174.99 ,4.4,Newegg,https://c1.neweggimages.com/ProductImage/24-011-467-05.png
"SAMSUNG 49"" Odyssey G95SC Series OLED Curved Smart Gaming Monitor, 240Hz, 0.03ms(GtG), Dual QHD, Neo Quantum Processor Pro, DisplayHDR 400, G-Sync Compatible, AMD FreeSync Premium Pro, Gaming Hub, LS49CG954SNXZA","OLED & NEO QUANTUM PROCESSOR PRO: With the advanced Neo Quantum Processor Pro, every frame on the OLED panel is instantly analyzed and optimized for maximum quality; Colors, shades and contrast ,49"" DUAL QHD: A screen as wide as two quad high definition monitors delivers maximum space to take in all the pin-sharp detail ,DisplayHDR TRUE BLACK 400: Uncover every secret with infinite expression ,0.03ms(GtG) or 0.03ms(MPRT) RESPONSE TIME & 240Hz REFRESH RATE ,G-Sync compatibility and AMD FreeSync Premium Pro for stable and stutter-free game scenes ,WHERE GAMING COMES TOGETHER: Gaming Hub allows instant access to streaming services and consoles ,GAME BAR: Now, you can easily view the status of the most important settings such as FPS or HDR; Modify the screen ratio, zoom in on the Minimap, or change the game picture mode without ever leaving your game screen ,SMART TV EXPERIENCE ,BUILT-IN SPEAKER ,VERSATILE CONNECTIVITY ,","$1,799.99 ",4.5,Newegg,https://c1.neweggimages.com/ProductImage/24-027-256-26.jpg
"SAMSUNG 32"" 240 Hz VA WQHD Gaming Monitor FreeSync Premium Pro (AMD Adaptive Sync) 2560 x 1440 (2K) DCI Coverage: 95% (Typ), 88% (Min) Odyssey G65B LS32BG650ENXGO","32"" ,VA WQHD 2560 x 1440 (2K) ,240 Hz ,FreeSync Premium Pro (AMD Adaptive Sync) ,2500:1 (Typical) ,1.07 Billion ,Height: 120.0 mm +/- 5.0 mm Pivot: -92.0° ~ 92.0° Swivel: -15.0° ~ 15.0° Tilt: -9.0° (+/- 2°) ~ 13.0° (+/- 2°) ,1 x DisplayPort 1.4 / 2 x HDMI 2.1 2 x USB 3.0 Type-A Downstream ,1.5m Power Cable DP Cable USB 3.0 Cable Remote Controller ,",$153.99 ,4.1,Newegg,https://c1.neweggimages.com/ProductImage/24-027-318-09.png
"Acer Nitro QG241Y S3 23.8inch 1920x1080 180Hz Refresh rate 1ms response time AMD FreeSync Premium HDR Gaming Monitor, HDMIx2, DisplayPort, Speaker","23.8inch 1920x1080P Gaming Display ,180Hz refresh rate and 1ms response time ,Acer Vision Care Technology ,AMD Freesync Premium Technology ,HDMIx2, DisplayPort, Speaker ,",$174.99 ,4.3,Newegg,https://c1.neweggimages.com/ProductImage/24-011-481-03.png
"Acer 27” 170Hz 2K Gaming Monitor 1ms AMD FreeSync Premium, WQHD (2560 x 1440), HDR Support (1 x Display Port 1.2 & 2 x HDMI 2.0 Ports) Nitro KG271U Pbiip","27"" WQHD (2560 x 1440) Widescreen VA Monitor with AMD FreeSync Premium ,Technology ,Response Time: 1ms (VRB) ,Refresh Rate: Up to 170Hz ,Acer VisionCare Technologies ,Ports: 1 x Display Port 1.2 and 2 x HDMI 2.0 ,",$174.99 ,4.1,Newegg,https://c1.neweggimages.com/ProductImage/24-011-452-01.png
"MSI G273CQ 27"" QHD 2560 x 1440 (2K) 1ms (MPRT) / 4ms (GTG) 170 Hz FreeSync Premium Curved Gaming Monitor","27"" ,VA QHD 2560 x 1440 (2K) ,170 Hz ,FreeSync Premium ,3000:1 ,16.7 Million ,Tilt Adjustment Tilt -5° ~ 20° ,1 x DisplayPort 1.4a / 2 x HDMI 2.0 ,Power Cord, HDMI Cable ,",$109.99 ,4.6,Newegg,https://c1.neweggimages.com/ProductImage/24-475-279-26.jpg
"MSI 34"" 240 Hz QD-OLED UWQHD Gaming Monitor 3440 x 1440 (2K) 97.8% Adobe RGB / 99.3% DCI-P3 / 139.1% sRGB MPG 341CQPX QD-OLED","Next-Gen QD-OLED Panel - With stunning image quality and fast response time. ,Fastest 0.03ms GtG response time and 240Hz refresh rate. ,QD Premium Color - Ensures the color meets the market standard - Delta E<=2. ,Incredible HDR visual - VESA DisplayHDR True Black 400. ,Gaming Intelligence App - Create the perfect viewing settings for your games. ,MSI OLED Care 2.0 - Reduced the risk of OLED image sticking / burn-in. ,KVM - Control multiple devices via one set of keyboard, mouse, and monitor. ,Console Mode - Provide HDMI 2.1 (UWQHD@240Hz) with a full 48 Gbps bandwidth. ,",$849.99 ,5,Newegg,https://c1.neweggimages.com/ProductImage/24-475-392-01.jpg
